case_index,sweep,label,seed,interval_days,start_policy,profit_trigger,dd_trigger,min_days,dd,frozen_floor,cost,withdraw_chunk,withdraw_step,seat_cap,split,n_book_windows,horizon_years,book_start_first,book_start_last,overlapping_windows,in_sample,cash_p10,cash_median,withdrawable_p10,withdrawable_median,payout_received_median,realized_p10,realized_median,cashout_p10,cashout_median,cashout_below_water_rate,mark_p10,mark_median,mark_below_water_rate,ruin_rate,wipeout_rate,shock_5plus_rate,full_collapse_5plus_rate,worst_cluster,worst_wipe,seats_bought_median,live_seats_median,dd_same_price_diagnostic,simulator_sha256
38,start_trigger,"any trigger, min 7d",3000.000000,30,any,1000.000000,400.000000,7,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,44900.000000,0.000000,28327.000000,46700.000000,-3000.000000,41900.000000,-3000.000000,89649.425000,0.222222,-3000.000000,141649.425000,0.222222,0.222222,0.222222,0.444444,0.111111,12,9,20.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
39,start_trigger,"any trigger, min 14d",3000.000000,30,any,1000.000000,400.000000,14,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,42000.000000,0.000000,23649.750000,43500.000000,-3000.000000,39000.000000,-3000.000000,72962.400000,0.222222,-3000.000000,112011.225000,0.166667,0.166667,0.277778,0.444444,0.000000,11,2,22.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
40,start_trigger,"any trigger, min 30d",3000.000000,30,any,1000.000000,400.000000,30,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3220.000000,22400.000000,0.000000,12805.500000,24200.000000,220.000000,19400.000000,220.000000,36501.175000,0.111111,5600.655000,62638.075000,0.055556,0.000000,0.277778,0.111111,0.000000,6,1,24.000000,17.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
41,start_trigger,"any trigger, min 45d",3000.000000,30,any,1000.000000,400.000000,45,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3080.000000,16200.000000,207.410000,8735.800000,16600.000000,80.000000,13200.000000,287.410000,25318.725000,0.111111,3605.530000,40668.375000,0.055556,0.000000,0.222222,0.000000,0.000000,4,1,17.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
42,start_trigger,"any trigger, min 60d",3000.000000,30,any,1000.000000,400.000000,60,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3140.000000,13400.000000,0.000000,6391.875000,12900.000000,140.000000,10400.000000,420.000000,19108.400000,0.111111,2656.860000,35397.425000,0.055556,0.000000,0.444444,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
43,withdrawal,"$200/$400; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,19400.000000,0.000000,11613.000000,22900.000000,-1200.000000,18200.000000,-1200.000000,33636.600000,0.222222,-1200.000000,61787.350000,0.166667,0.166667,0.333333,0.000000,0.000000,4,1,21.000000,15.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
44,withdrawal,"$200/$600; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,600.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,12500.000000,0.000000,19756.600000,15800.000000,-1200.000000,11300.000000,-1200.000000,34605.625000,0.222222,-1200.000000,61456.375000,0.222222,0.222222,0.388889,0.000000,0.000000,4,1,20.000000,12.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
45,withdrawal,"$200/$1,000; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,1000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,5700.000000,0.000000,26458.425000,8100.000000,-1200.000000,4500.000000,-1200.000000,34458.425000,0.388889,-1200.000000,58991.550000,0.333333,0.333333,0.388889,0.000000,0.000000,4,1,16.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
46,withdrawal,"$200/$2,000; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,1100.000000,0.000000,29162.575000,2400.000000,-1200.000000,-100.000000,-1200.000000,29062.575000,0.333333,-1200.000000,50883.250000,0.333333,0.333333,0.388889,0.000000,0.000000,4,1,12.500000,8.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
47,withdrawal,"$500/$2,500; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,500.000000,2500.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,3500.000000,0.000000,25895.575000,5000.000000,-1200.000000,2300.000000,-1200.000000,29458.900000,0.277778,-1200.000000,54513.800000,0.222222,0.222222,0.277778,0.000000,0.000000,4,1,13.500000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
