k,copies,policy,episodes,selection_end,fill_rate_median,fill_rate_p10,offer_coverage_median,cashout_median,cashout_p10,cashout_es10,realized_median,net_payouts_median,ruin_rate,zero_seat_episode_rate,large_shock_episode_rate,worst_death_cluster,replacements_median,first_payout_days_median,initial_capital,cashout_roi_median,test_fill_rate,test_cashout,test_realized,test_net_payouts,test_ruined,test_worst_death_cluster,test_replacements
6,2,max_headroom,5,2023-01-01,0.99455677,0.99401272,0.99455677,4200.00000000,2001.22800000,600.00000000,3120.00000000,4320.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,233.97916667,2200.00000000,1.90909091,0.99495095,39482.34000000,20760.00000000,21960.00000000,False,0,0
6,2,protect_frozen,5,2023-01-01,0.99455677,0.99401272,0.99455677,1293.77500000,-181.09900000,-1155.16500000,1280.00000000,2880.00000000,0.00000000,0.00000000,0.00000000,2,4.00000000,502.95833333,2200.00000000,0.58807955,0.99495095,34917.50000000,22340.00000000,23940.00000000,False,2,2
6,2,round_robin,5,2023-01-01,0.99455677,0.99401272,0.99455677,1421.88000000,-504.00000000,-1240.00000000,600.00000000,1800.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,604.95833333,2200.00000000,0.64630909,0.99495095,31041.56000000,20000.00000000,21600.00000000,False,2,2
6,2,stable_hash,5,2023-01-01,0.99455677,0.99401272,0.99455677,2885.36000000,1333.35800000,513.72000000,2140.00000000,4140.00000000,0.00000000,0.00000000,0.00000000,1,4.00000000,334.45833333,2200.00000000,1.31152727,0.99495095,33272.79500000,20540.00000000,22140.00000000,False,1,2
6,3,least_trades,5,2023-01-01,0.95325730,0.95285474,0.95346432,11275.59000000,3714.43400000,480.84000000,5160.00000000,8100.00000000,0.00000000,0.00000000,0.00000000,3,9.00000000,300.97916667,2200.00000000,5.12526818,0.95643393,55531.26000000,33120.00000000,34920.00000000,False,3,3
6,3,max_headroom,5,2023-01-01,0.95337815,0.95297685,0.95346432,6389.76000000,2520.00000000,0.00000000,3420.00000000,5220.00000000,0.00000000,0.00000000,0.00000000,3,3.00000000,372.70833333,2200.00000000,2.90443636,0.95643393,59553.91500000,32280.00000000,33480.00000000,False,0,0
6,3,protect_frozen,5,2023-01-01,0.95325730,0.95292429,0.95346432,8564.82500000,2254.94700000,-1324.94500000,5160.00000000,7560.00000000,0.00000000,0.00000000,0.00000000,3,6.00000000,329.97916667,2200.00000000,3.89310227,0.95643393,56274.90000000,33360.00000000,34560.00000000,False,0,0
6,3,round_robin,5,2023-01-01,0.95331247,0.95293308,0.95346432,9271.39500000,4279.19400000,3891.99000000,4860.00000000,6660.00000000,0.00000000,0.00000000,0.00000000,3,3.00000000,307.66666667,2200.00000000,4.21427045,0.95643393,56274.90000000,33360.00000000,34560.00000000,False,0,0
6,3,stable_hash,5,2023-01-01,0.95346432,0.95309897,0.95346432,7474.63500000,3171.71000000,886.62000000,4680.00000000,6480.00000000,0.00000000,0.00000000,0.00000000,1,4.00000000,289.72916667,2200.00000000,3.39756136,0.95643393,56480.05500000,32820.00000000,34020.00000000,False,0,0
8,1,least_trades,5,2023-01-01,1.00000000,1.00000000,1.00000000,-311.22000000,-1439.62200000,-1800.00000000,-960.00000000,900.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,542.54166667,2600.00000000,-0.11970000,1.00000000,8062.04500000,6280.00000000,8280.00000000,False,1,2
8,1,max_headroom,5,2023-01-01,1.00000000,1.00000000,1.00000000,740.00000000,-408.67900000,-1054.46500000,560.00000000,2160.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,509.52083333,2600.00000000,0.28461538,1.00000000,16634.09000000,8120.00000000,9720.00000000,False,0,0
8,1,protect_frozen,5,2023-01-01,1.00000000,1.00000000,1.00000000,-1896.27500000,-2317.65100000,-2396.08500000,-2000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,,2600.00000000,-0.72933654,1.00000000,7635.09000000,4800.00000000,7200.00000000,False,1,4
8,1,round_robin,5,2023-01-01,1.00000000,1.00000000,1.00000000,-845.66000000,-1812.00000000,-1820.00000000,-1640.00000000,360.00000000,0.00000000,0.00000000,0.00000000,1,1.00000000,562.44791667,2600.00000000,-0.32525385,1.00000000,12503.75000000,6620.00000000,8820.00000000,False,1,3
8,1,stable_hash,5,2023-01-01,1.00000000,1.00000000,1.00000000,271.17500000,64.33300000,-18.58500000,-540.00000000,1440.00000000,0.00000000,0.00000000,0.00000000,1,2.00000000,418.70833333,2600.00000000,0.10429808,1.00000000,12564.03500000,7100.00000000,9900.00000000,False,1,6
8,2,least_trades,5,2023-01-01,1.00000000,0.99973968,1.00000000,778.39000000,-1244.00000000,-1820.00000000,-380.00000000,1620.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,349.60416667,2600.00000000,0.29938077,0.99985574,25734.22000000,20860.00000000,22860.00000000,False,2,2
8,2,max_headroom,5,2023-01-01,1.00000000,0.99973968,1.00000000,4039.22000000,848.00000000,-160.00000000,2360.00000000,3960.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,399.31250000,2600.00000000,1.55354615,0.99985574,38999.81000000,20000.00000000,21600.00000000,False,0,0
8,2,protect_frozen,5,2023-01-01,0.99974147,0.99973942,1.00000000,-1504.28000000,-1944.00000000,-2000.00000000,-1820.00000000,540.00000000,0.00000000,0.00000000,0.00000000,2,4.00000000,611.10416667,2600.00000000,-0.57856923,0.99985574,28194.91000000,18160.00000000,20160.00000000,False,2,2
8,2,round_robin,5,2023-01-01,1.00000000,0.99973968,1.00000000,1518.01000000,1135.62000000,898.72000000,660.00000000,3060.00000000,0.00000000,0.00000000,0.00000000,2,2.00000000,420.95833333,2600.00000000,0.58385000,0.99985574,31150.42500000,19200.00000000,21600.00000000,False,2,4
8,2,stable_hash,5,2023-01-01,1.00000000,0.99973968,1.00000000,3686.07000000,-316.22800000,-2020.00000000,1220.00000000,3600.00000000,0.00000000,0.00000000,0.00000000,1,3.00000000,475.97916667,2600.00000000,1.41771923,0.99985574,33112.90000000,19180.00000000,21780.00000000,False,1,5
8,3,least_trades,5,2023-01-01,0.98095983,0.97840403,0.99455677,7206.01500000,3880.25600000,3005.14000000,3900.00000000,6300.00000000,0.00000000,0.00000000,0.00000000,3,8.00000000,389.81250000,2600.00000000,2.77154423,0.98211194,50050.10500000,32560.00000000,34560.00000000,False,1,2
