Time,Category,Message,
27.08.2026 19:38:01,Order,Order='e9308179bd6f49f99aef593a48321829/PA-APEX-240737-10' Name='StopLimit_2' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 19:38:01,Order,Order='2875990636/PA-APEX-240737-10' Name='Long1_2' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29634.5 Stop price=29634.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29634.5 Error='No error' Native error='',
27.08.2026 19:38:01,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203020' submitting order,
27.08.2026 19:38:01,Execution,Execution='1757264|2875990636|2875990636' Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Exchange=Globex Price=29634.5 Quantity=1 Market position=Long Operation=Operation_Add Order='2875990636' Time='8.27.2026 7:38 PM',
27.08.2026 19:38:01,Order,Order='2875990636/PA-APEX-240737-10' Name='Long1_2' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=29634.5 Stop price=29634.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:44:03,Execution,Execution='1739515|2875917345|2875917345' Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Exchange=Globex Price=29531.75 Quantity=1 Market position=Short Operation=Operation_Add Order='2875917345' Time='8.27.2026 6:44 PM',
27.08.2026 18:44:03,Order,Order='2875917345/PA-APEX-240737-09' Name='StopLimit_1' New state='Filled' Instrument='MNQ SEP26' Action='Sell' Limit price=29531.75 Stop price=29531.75 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29531.75 Error='No error' Native error='',
27.08.2026 18:44:03,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Average price=29611 Quantity=1 Market position=Flat Operation=Remove,
27.08.2026 18:44:03,Order,Order='2875917345/PA-APEX-240737-09' Name='StopLimit_1' New state='Working' Instrument='MNQ SEP26' Action='Sell' Limit price=29531.75 Stop price=29531.75 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:30:00,Order,Order='2875990636/PA-APEX-240737-10' Name='Long1_2' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29634.5 Stop price=29634.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:30:00,Order,Order='7790bdbb291847b4a1077d8c2d1abff9/PA-APEX-240737-10' Name='Long1_2' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29634.5 Stop price=29634.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:30:00,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203020' submitting order,
27.08.2026 18:01:51,Order,Order='2875917345/PA-APEX-240737-09' Name='StopLimit_1' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29531.75 Stop price=29531.75 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:01:51,Order,Order='07a76f832e1d4a39ad66d674089ff64a/PA-APEX-240737-09' Name='StopLimit_1' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29531.75 Stop price=29531.75 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:01:51,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203019' submitting order,
27.08.2026 18:01:51,Execution,Execution='1722621|2875911332|2875911332' Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Exchange=Globex Price=29611 Quantity=1 Market position=Long Operation=Operation_Add Order='2875911332' Time='8.27.2026 6:01 PM',
27.08.2026 18:01:51,Order,Order='2875911332/PA-APEX-240737-09' Name='Long1_1' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29611 Stop price=29611 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29611 Error='No error' Native error='',
27.08.2026 18:01:51,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-09' Average price=29611 Quantity=1 Market position=Long Operation=Operation_Add,
27.08.2026 18:01:51,Order,Order='2875911332/PA-APEX-240737-09' Name='Long1_1' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=29611 Stop price=29611 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:00:00,Order,Order='2875911332/PA-APEX-240737-09' Name='Long1_1' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29611 Stop price=29611 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:00:00,Order,Order='e83308894a894ed18edc37d9ca3739e9/PA-APEX-240737-09' Name='Long1_1' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29611 Stop price=29611 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 18:00:00,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203019' submitting order,
27.08.2026 17:28:34,Order,Order='2875765471/PA-APEX-240737-15' Name='StopLimit_6' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29424 Stop price=29424 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 17:28:34,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-15' Average price=29605 Quantity=1 Market position=Long Operation=Operation_Add,
27.08.2026 17:28:34,Order,Order='2875608340/PA-APEX-240737-15' Name='Long1_6' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29605 Stop price=29605 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29605 Error='No error' Native error='',
27.08.2026 17:28:34,Order,Order='523b95447e3e4c268307f37b972b9e84/PA-APEX-240737-15' Name='StopLimit_6' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29424 Stop price=29424 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 17:28:34,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203024' submitting order,
27.08.2026 17:28:34,Execution,Execution='1705032|2875608340|2875608340' Instrument='MNQ SEP26' Account='PA-APEX-240737-15' Exchange=Globex Price=29605 Quantity=1 Market position=Long Operation=Operation_Add Order='2875608340' Time='8.27.2026 5:28 PM',
27.08.2026 17:27:02,Order,Order='2875608340/PA-APEX-240737-15' Name='Long1_6' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=29605 Stop price=29605 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 17:00:00,Order,Order='2875608340/PA-APEX-240737-15' Name='Long1_6' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29605 Stop price=29605 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 17:00:00,Order,Order='c61624b3bb684a9c81366d597c42c8d2/PA-APEX-240737-15' Name='Long1_6' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29605 Stop price=29605 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 17:00:00,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203024' submitting order,
27.08.2026 16:31:44,Execution,Execution='1651323|2875363787|2875363787' Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Exchange=Globex Price=29517.75 Quantity=1 Market position=Short Operation=Operation_Add Order='2875363787' Time='8.27.2026 4:31 PM',
27.08.2026 16:31:44,Order,Order='2875363787/PA-APEX-240737-10' Name='StopLimit_2' New state='Filled' Instrument='MNQ SEP26' Action='Sell' Limit price=29516 Stop price=29516 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29517.75 Error='No error' Native error='',
27.08.2026 16:31:44,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Average price=29581.5 Quantity=1 Market position=Flat Operation=Remove,
27.08.2026 16:31:44,Order,Order='2875363787/PA-APEX-240737-10' Name='StopLimit_2' New state='Working' Instrument='MNQ SEP26' Action='Sell' Limit price=29516 Stop price=29516 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 16:30:48,Order,Order='2875363787/PA-APEX-240737-10' Name='StopLimit_2' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29516 Stop price=29516 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 16:30:48,Order,Order='a8eebbc83b07460499973c2b760b0089/PA-APEX-240737-10' Name='StopLimit_2' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29516 Stop price=29516 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 16:30:48,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203020' submitting order,
27.08.2026 16:30:48,Execution,Execution='1654482|2875317940|2875317940' Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Exchange=Globex Price=29581.5 Quantity=1 Market position=Long Operation=Operation_Add Order='2875317940' Time='8.27.2026 4:30 PM',
27.08.2026 16:30:48,Order,Order='2875317940/PA-APEX-240737-10' Name='Long1_2' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29581.5 Stop price=29581.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29581.5 Error='No error' Native error='',
27.08.2026 16:30:48,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Average price=29581.5 Quantity=1 Market position=Long Operation=Operation_Add,
27.08.2026 16:30:48,Order,Order='2875317940/PA-APEX-240737-10' Name='Long1_2' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=29581.5 Stop price=29581.5 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
